Nozzle_Capi,Katman_Yuksekligi,Nozzle_Sicakligi,Yatak_Sicakligi,Ortam_Sicakligi,Baski_Hizi,Filament_Tipi,Doluluk_Orani,Doluluk_Deseni,Utuleme,Destek_Tipi,Renk_Degisimi_Sayisi,Hata_Detayi,Baski_Durumu
0.4,0.16,275,57,36.0,423.0,PETG,97,Cubic,1,Yok,38,Basarili,1
0.8,0.16,194,80,53.0,118.0,PLA,43,Grid,0,Yok,17,Basarili,1
0.6,0.2,253,58,,376.0,PETG,70,Cubic,0,Normal,19,Basarili,1
0.4,0.16,239,43,47.0,200.0,PETG,85,Grid,1,Normal,42,Basarili,1
0.4,0.28,276,104,54.0,394.0,ASA,49,Grid,0,Normal,7,Basarili,1
0.4,0.16,204,80,27.0,114.0,PETG,79,Lightning,0,Yok,25,Basarili,1
0.2,0.28,262,54,46.0,199.0,PLA,17,Gyroid,1,Yok,20,Basarili,1
0.6,0.16,242,93,41.0,369.0,ABS,97,Gyroid,0,Tree,26,Basarili,0
0.4,0.28,214,103,43.0,294.0,ABS,36,Lightning,0,Yok,31,Basarili,0
0.6,0.16,278,111,21.0,107.0,ABS,47,Grid,0,Normal,41,Warping,0
0.2,0.16,274,54,50.0,205.0,PLA,12,Cubic,0,Yok,49,Basarili,1
0.8,0.12,198,89,41.0,161.0,PLA,78,Lightning,0,Tree,16,Basarili,1
0.6,0.28,227,61,20.0,,ABS,93,Lightning,0,Tree,48,Warping,0
0.4,0.28,211,57,33.0,402.0,PETG,63,Cubic,0,Normal,0,Basarili,1
0.4,0.28,276,41,44.0,411.0,ABS,15,Grid,1,Normal,26,Warping,0
0.4,0.08,238,75,55.0,252.0,TPU,32,Lightning,0,Tree,35,Tikanma,0
0.4,0.16,257,59,55.0,53.0,PLA,43,Lightning,0,Normal,10,Basarili,1
0.4,0.28,204,55,22.0,178.0,TPU,30,Grid,0,Tree,40,Tikanma,0
0.4,0.08,254,106,24.0,75.0,TPU,76,Cubic,0,Yok,40,Ipliklenme,0
0.4,0.12,243,69,20.0,,PLA,30,Cubic,0,Yok,34,Basarili,0
0.4,0.28,219,94,38.0,76.0,ABS,36,Gyroid,0,Tree,37,Basarili,1
0.4,0.28,209,105,52.0,,ASA,50,Gyroid,1,Tree,37,Basarili,1
0.4,0.08,222,65,49.0,120.0,TPU,32,Cubic,0,Normal,41,Tikanma,0
0.4,0.16,275,96,31.0,113.0,ABS,11,Gyroid,0,Tree,41,Warping,0
0.4,0.12,266,108,29.0,74.0,ASA,39,Gyroid,0,Tree,48,Warping,0
0.6,0.28,196,41,53.0,121.0,TPU,70,Grid,0,Yok,46,Tikanma,0
0.4,0.16,197,95,35.0,410.0,ABS,26,Lightning,0,Normal,35,Tikanma,0
0.4,0.12,217,101,59.0,437.0,TPU,26,Gyroid,0,Normal,9,Tikanma,0
0.4,0.2,234,73,48.0,317.0,ABS,7,Gyroid,1,Tree,39,Warping,0
0.2,0.2,262,95,34.0,363.0,PETG,50,Grid,1,Yok,0,Basarili,1
0.4,0.12,278,94,30.0,,PETG,54,Cubic,1,Yok,21,Ipliklenme,0
0.4,0.08,269,59,53.0,444.0,PLA,12,Gyroid,1,Yok,16,Basarili,1
0.2,0.12,263,89,,406.0,ASA,8,Lightning,0,Yok,11,Warping,0
0.8,0.12,200,64,49.0,413.0,TPU,19,Gyroid,0,Yok,43,Tikanma,0
0.8,0.08,220,64,54.0,364.0,TPU,48,Lightning,0,Yok,12,Tikanma,0
0.6,0.08,201,92,28.0,166.0,ABS,43,Cubic,0,Tree,24,Warping,0
0.4,0.16,267,53,37.0,213.0,ASA,80,Gyroid,1,Yok,25,Warping,0
0.2,0.16,240,99,38.0,414.0,TPU,33,Lightning,0,Yok,45,Tikanma,0
0.4,0.08,233,82,58.0,327.0,ASA,77,Lightning,1,Yok,39,Warping,0
0.4,0.2,239,101,23.0,,ASA,66,Lightning,1,Normal,45,Warping,0
0.4,0.2,206,108,25.0,355.0,PETG,88,Cubic,1,Yok,38,Tikanma,0
0.4,0.12,224,102,52.0,309.0,TPU,38,Lightning,1,Yok,48,Tikanma,0
0.2,0.28,190,41,51.0,277.0,TPU,30,Grid,0,Yok,42,Tikanma,0
0.8,0.12,218,93,35.0,249.0,PLA,89,Cubic,0,Normal,32,Basarili,1
0.4,0.12,240,55,30.0,,ASA,91,Lightning,0,Yok,7,Warping,0
0.4,0.28,253,94,41.0,229.0,ABS,22,Cubic,1,Yok,12,Basarili,1
0.4,0.08,193,82,55.0,407.0,PETG,67,Cubic,0,Tree,25,Tikanma,0
0.4,0.2,276,100,42.0,277.0,PLA,56,Grid,0,Yok,16,Basarili,1
0.4,0.12,217,77,45.0,301.0,PETG,58,Lightning,0,Tree,23,Basarili,1
0.4,0.28,205,84,50.0,348.0,ABS,92,Cubic,0,Tree,23,Tikanma,0
0.8,0.16,252,90,48.0,410.0,PLA,46,Cubic,0,Yok,11,Basarili,1
0.6,0.12,265,81,24.0,53.0,PETG,97,Lightning,1,Tree,30,Ipliklenme,0
0.8,0.2,242,63,57.0,190.0,ABS,58,Grid,0,Yok,15,Warping,0
0.6,0.08,274,69,44.0,215.0,PLA,56,Gyroid,0,Yok,41,Basarili,0
0.4,0.12,206,76,53.0,303.0,ABS,17,Lightning,0,Tree,15,Tikanma,0
0.8,0.12,229,92,31.0,202.0,PLA,36,Gyroid,0,Yok,29,Basarili,1
0.2,0.28,202,102,41.0,116.0,TPU,87,Lightning,0,Yok,27,Tikanma,0
0.4,0.16,241,50,28.0,,TPU,85,Lightning,0,Tree,2,Basarili,1
0.2,0.16,247,62,39.0,145.0,PETG,70,Cubic,0,Yok,32,Ipliklenme,0
0.4,0.08,226,89,48.0,216.0,ASA,86,Lightning,0,Yok,23,Warping,0
0.4,0.2,268,94,48.0,370.0,ASA,62,Grid,1,Yok,29,Basarili,1
0.4,0.08,265,94,46.0,380.0,ABS,43,Grid,1,Normal,39,Basarili,1
0.6,0.12,250,43,36.0,435.0,PLA,31,Lightning,0,Yok,47,Basarili,1
0.4,0.12,268,93,24.0,425.0,TPU,82,Cubic,0,Tree,27,Ipliklenme,0
0.4,0.16,223,100,32.0,391.0,ASA,58,Cubic,0,Tree,46,Warping,0
0.4,0.2,259,44,34.0,111.0,TPU,83,Gyroid,0,Normal,38,Ipliklenme,0
0.4,0.28,206,57,34.0,223.0,ABS,76,Lightning,0,Yok,1,Warping,0
0.6,0.2,209,83,37.0,302.0,ABS,77,Gyroid,0,Tree,12,Tikanma,0
0.2,0.12,262,70,21.0,161.0,PLA,89,Cubic,1,Normal,36,Basarili,0
0.8,0.28,248,60,42.0,264.0,ASA,47,Grid,0,Normal,9,Basarili,1
0.6,0.2,258,86,32.0,288.0,ABS,56,Cubic,1,Yok,39,Warping,0
0.4,0.2,276,69,23.0,276.0,ABS,18,Grid,0,Yok,12,Warping,0
0.2,0.28,222,94,44.0,279.0,TPU,95,Gyroid,0,Yok,18,Tikanma,0
0.6,0.12,267,107,30.0,,PETG,12,Cubic,0,Normal,5,Ipliklenme,0
0.6,0.2,206,108,31.0,212.0,ASA,39,Grid,1,Yok,17,Warping,0
0.6,0.28,246,80,32.0,,PLA,22,Gyroid,0,Yok,39,Basarili,0
0.6,0.12,272,84,28.0,302.0,PLA,59,Cubic,1,Yok,8,Basarili,1
0.2,0.28,190,113,57.0,382.0,TPU,82,Lightning,0,Yok,16,Spagetti,0
0.4,0.28,202,69,25.0,248.0,PLA,56,Cubic,0,Yok,3,Basarili,1
0.4,0.2,216,84,29.0,246.0,ABS,76,Gyroid,0,Yok,49,Warping,0
0.6,0.12,259,84,42.0,171.0,ASA,53,Cubic,0,Tree,5,Warping,0
0.4,0.2,248,84,,313.0,PLA,12,Gyroid,0,Normal,10,Basarili,1
0.4,0.08,195,94,42.0,103.0,ASA,41,Grid,0,Normal,41,Basarili,1
0.2,0.08,212,98,59.0,184.0,PLA,70,Cubic,0,Yok,25,Basarili,1
0.4,0.12,199,44,56.0,388.0,PETG,85,Gyroid,0,Yok,10,Tikanma,0
0.4,0.28,240,71,53.0,,PETG,81,Gyroid,1,Yok,7,Spagetti,0
0.6,0.2,208,45,35.0,200.0,ASA,82,Lightning,0,Yok,2,Warping,0
0.4,0.2,240,65,51.0,149.0,PETG,45,Grid,0,Tree,1,Basarili,1
0.6,0.12,276,76,57.0,,PETG,77,Lightning,1,Yok,17,Basarili,1
0.4,0.12,257,52,59.0,81.0,ABS,31,Lightning,0,Tree,1,Basarili,1
0.4,0.08,273,108,24.0,,PLA,24,Cubic,0,Yok,25,Basarili,0
0.6,0.16,272,64,36.0,245.0,PETG,42,Gyroid,1,Tree,11,Basarili,1
0.6,0.12,231,52,41.0,,ASA,16,Gyroid,0,Yok,36,Warping,0
0.4,0.16,246,59,58.0,292.0,ABS,46,Gyroid,1,Tree,25,Warping,0
0.6,0.12,257,111,37.0,155.0,PETG,90,Cubic,0,Yok,35,Ipliklenme,0
0.4,0.28,227,99,47.0,344.0,ASA,54,Cubic,0,Yok,15,Basarili,1
0.4,0.28,251,112,32.0,182.0,PLA,35,Grid,0,Tree,13,Basarili,1
0.4,0.08,196,60,20.0,71.0,PETG,81,Lightning,0,Yok,1,Basarili,1
0.2,0.08,260,100,38.0,205.0,ASA,69,Grid,0,Tree,20,Basarili,1
0.4,0.16,239,65,53.0,433.0,ASA,57,Grid,0,Yok,6,Warping,0
0.2,0.12,241,93,23.0,263.0,TPU,44,Cubic,0,Yok,10,Tikanma,0
0.4,0.2,215,81,22.0,275.0,ASA,77,Gyroid,0,Yok,43,Warping,0
0.4,0.08,215,50,,334.0,TPU,43,Cubic,0,Normal,28,Tikanma,0
0.4,0.2,208,76,,220.0,PLA,14,Cubic,0,Normal,36,Basarili,1
0.8,0.2,198,50,53.0,91.0,PLA,33,Cubic,0,Yok,47,Basarili,1
0.4,0.12,250,66,58.0,109.0,ABS,44,Grid,0,Normal,38,Warping,0
0.4,0.16,209,73,38.0,424.0,TPU,34,Gyroid,0,Yok,27,Tikanma,0
0.6,0.12,239,77,55.0,126.0,ASA,6,Cubic,0,Tree,39,Warping,0
0.4,0.08,269,100,22.0,251.0,ABS,86,Grid,0,Yok,3,Warping,0
0.2,0.2,270,92,42.0,269.0,ABS,32,Cubic,0,Yok,3,Basarili,1
0.4,0.12,211,104,36.0,236.0,PLA,51,Lightning,0,Yok,26,Basarili,1
0.4,0.12,202,42,26.0,,ASA,36,Gyroid,0,Tree,5,Warping,0
0.8,0.12,201,106,45.0,391.0,TPU,92,Grid,0,Yok,33,Tikanma,0
0.6,0.08,199,67,37.0,261.0,PLA,82,Lightning,0,Yok,40,Tikanma,0
0.4,0.16,254,53,25.0,417.0,ABS,93,Cubic,0,Normal,39,Warping,0
0.6,0.12,219,91,50.0,389.0,PETG,93,Lightning,1,Tree,17,Basarili,1
0.6,0.08,197,69,48.0,311.0,ABS,36,Lightning,0,Yok,43,Tikanma,0
0.4,0.2,210,97,28.0,378.0,PETG,31,Grid,0,Yok,47,Basarili,1
0.6,0.28,211,93,,126.0,PLA,58,Gyroid,0,Normal,29,Basarili,1
0.4,0.08,207,108,36.0,80.0,TPU,60,Gyroid,1,Yok,32,Tikanma,0
0.6,0.28,255,54,31.0,88.0,ASA,35,Grid,1,Yok,19,Warping,0
0.6,0.12,237,77,55.0,355.0,PETG,28,Cubic,0,Normal,35,Basarili,1
0.4,0.12,233,53,43.0,383.0,ASA,39,Lightning,0,Normal,45,Warping,0
0.4,0.08,198,96,,263.0,PLA,34,Gyroid,0,Normal,49,Tikanma,0
0.4,0.28,256,98,,175.0,PLA,59,Gyroid,1,Tree,4,Basarili,1
0.4,0.12,243,47,48.0,214.0,PLA,68,Lightning,0,Yok,34,Basarili,1
0.6,0.2,215,111,58.0,295.0,TPU,37,Cubic,0,Normal,18,Tikanma,0
0.6,0.16,274,58,29.0,,PETG,50,Lightning,1,Yok,11,Ipliklenme,0
0.2,0.16,215,71,58.0,137.0,ASA,95,Grid,0,Tree,25,Warping,0
0.4,0.12,223,68,47.0,,ABS,37,Grid,0,Yok,18,Warping,0
0.4,0.28,197,80,37.0,320.0,PLA,72,Cubic,1,Tree,10,Tikanma,0
0.4,0.12,199,114,36.0,100.0,ASA,68,Gyroid,1,Yok,19,Basarili,1
0.4,0.28,237,84,30.0,247.0,ASA,34,Gyroid,0,Yok,8,Warping,0
0.4,0.2,244,52,20.0,72.0,TPU,83,Cubic,1,Yok,19,Tikanma,0
0.8,0.28,243,66,36.0,202.0,PETG,33,Cubic,1,Tree,26,Basarili,1
0.4,0.12,267,58,55.0,272.0,TPU,66,Grid,1,Tree,4,Ipliklenme,0
0.4,0.2,229,65,55.0,,TPU,96,Grid,0,Tree,9,Tikanma,0
0.6,0.08,204,92,28.0,200.0,ASA,34,Cubic,0,Tree,8,Basarili,1
0.4,0.16,270,90,47.0,315.0,PETG,16,Gyroid,0,Yok,24,Ipliklenme,0
0.8,0.12,207,76,52.0,122.0,PETG,71,Lightning,1,Yok,12,Basarili,1
0.8,0.12,212,48,22.0,418.0,PETG,19,Lightning,0,Yok,31,Basarili,0
0.4,0.12,251,91,27.0,126.0,PLA,14,Lightning,0,Tree,7,Basarili,1
0.4,0.2,235,93,25.0,81.0,PETG,90,Grid,0,Yok,44,Basarili,0
0.4,0.08,276,42,,418.0,ASA,65,Cubic,0,Normal,26,Warping,0
0.4,0.28,228,108,48.0,114.0,PLA,27,Gyroid,0,Yok,21,Basarili,1
0.2,0.08,204,47,56.0,406.0,ABS,15,Grid,0,Tree,27,Tikanma,0
0.4,0.2,242,53,31.0,67.0,TPU,20,Cubic,1,Tree,17,Tikanma,0
0.4,0.12,277,42,28.0,213.0,PETG,53,Cubic,0,Normal,22,Basarili,1
0.2,0.16,253,63,38.0,336.0,ABS,84,Lightning,0,Tree,40,Warping,0
0.4,0.12,252,52,36.0,103.0,PETG,18,Lightning,1,Yok,30,Ipliklenme,0
0.8,0.28,269,82,51.0,112.0,TPU,10,Gyroid,0,Yok,40,Ipliklenme,0
