Yazici_Modeli,Nozzle_Capi,Katman_Yuksekligi,Nozzle_Sicakligi,Yatak_Sicakligi,Ortam_Sicakligi,Baski_Hizi,Filament_Tipi,Doluluk_Orani,Doluluk_Deseni,Utuleme,Destek_Tipi,Hata_Detayi,Baski_Durumu
Bambu Lab A1 Combo,0.4,0.08,275,40,52,163.0,ABS,17,Grid,1,Yok,Warping (Kasa Acik),0
Creality K1C,0.8,0.08,244,46,44,327.0,ASA,57,Lightning,0,Yok,Warping (Soguk Yatak),0
Voron 1,0.6,0.16,264,59,23,306.0,PETG,97,Lightning,0,Tree,Basarili,1
Ender-3 V3 SE,0.4,0.28,261,82,24,148.0,ASA,43,Grid,0,Yok,Basarili,1
Bambu Lab A1 Combo,0.4,0.28,253,45,42,387.0,Recine_UV,88,Cubic,0,Normal,Basarili,1
Creality K1 Max,0.4,0.16,209,94,58,87.0,TPU,97,Lightning,0,Yok,Basarili,1
Bambu Lab A1 Mini,0.2,0.2,193,60,24,340.0,Recine_UV,22,Gyroid,0,Normal,Tikanma (Yetersiz Akis),0
Bambu Lab X1 Carbon,0.6,0.08,207,90,27,134.0,TPU,26,Lightning,1,Yok,Basarili,1
Anycubic Kobra 2 Pro,0.4,0.08,240,85,36,72.0,Recine_UV,40,Lightning,0,Yok,Basarili,1
Anycubic Kobra 2 Pro,0.6,0.16,257,74,20,157.0,TPU,57,Lightning,0,Yok,Basarili,1
Anycubic Kobra 2 Pro,0.2,0.16,209,47,31,171.0,PETG,76,Cubic,0,Yok,Basarili,1
Voron 1.8,0.8,0.2,198,107,54,290.0,Recine_UV,7,Cubic,0,Yok,Basarili,1
Kobra,0.6,0.28,269,55,33,342.0,PLA,66,Grid,0,Tree,Basarili,1
Bambu Lab A1 Combo,0.4,0.12,215,106,37,161.0,TPU,33,Lightning,0,Yok,Basarili,1
Creality K1 Max,0.4,0.28,214,110,29,257.0,ASA,77,Cubic,0,Normal,Basarili,1
Bambu Lab A1,0.4,0.08,257,103,34,92.0,PLA,12,Cubic,0,Normal,Basarili,1
Creality K1C,0.4,0.16,230,41,52,165.0,ASA,98,Grid,0,Normal,Basarili,1
Bambu Lab P1S Combo,0.4,0.2,248,40,38,198.0,TPU,80,Gyroid,0,Normal,Basarili,1
SV01,0.4,0.28,234,97,53,198.0,PETG,50,Gyroid,1,Tree,Basarili,1
Ender-3 V3 SE,0.4,0.2,230,40,44,322.0,PLA,96,Lightning,1,Tree,Basarili,1
Anycubic Kobra 2 Pro,0.4,0.28,227,46,35,128.0,PLA,60,Gyroid,0,Yok,Basarili,1
Bambu Lab P1S,0.4,0.08,208,108,27,215.0,TPU,53,Grid,0,Normal,Basarili,1
Creality K1 Max,0.4,0.12,203,57,54,331.0,Recine_UV,47,Cubic,0,Yok,Basarili,1
Bambu Lab A1,0.4,0.2,210,71,40,198.0,TPU,14,Gyroid,1,Yok,Basarili,1
Creality K1 Max,0.4,0.2,204,84,38,288.0,TPU,17,Lightning,0,Yok,Basarili,1
Bambu Lab A1,0.6,0.12,192,72,30,396.0,ABS,61,Lightning,0,Tree,Tikanma (Yetersiz Akis),0
Saturn,0.4,0.2,226,113,30,161.0,PETG,6,Cubic,0,Normal,Hatali Malzeme (Reçine Cihazi),0
Anycubic Kobra 2 Pro,0.4,0.2,235,112,30,276.0,Recine_UV,69,Lightning,0,Normal,Basarili,1
Bambu Lab A1 Combo,0.4,0.28,205,88,41,164.0,PETG,90,Grid,0,Yok,Basarili,1
Bambu Lab A1 Mini,0.2,0.28,203,72,40,354.0,TPU,84,Gyroid,0,Yok,Tikanma (Yetersiz Akis),0
Anycubic Kobra 2 Pro,0.4,0.12,198,110,46,318.0,ABS,46,Lightning,0,Yok,Tikanma (Yetersiz Akis),0
Bambu Lab A1,0.4,0.08,196,107,37,394.0,TPU,62,Gyroid,1,Tree,Tikanma (Yetersiz Akis),0
Creality K1 Max,0.2,0.2,203,67,59,363.0,TPU,97,Cubic,1,Yok,Tikanma (Yetersiz Akis),0
Bambu Lab A1 Combo,0.8,0.08,195,92,57,131.0,PETG,14,Gyroid,1,Normal,Basarili,1
Bambu Lab A1 Mini,0.8,0.12,274,83,49,144.0,ABS,67,Grid,0,Tree,Warping (Kasa Acik),0
Photon M3 Premium,0.6,0.12,204,94,52,81.0,PETG,75,Cubic,1,Tree,Hatali Malzeme (Reçine Cihazi),0
Ender-3 V2,0.4,0.28,241,49,40,436.0,TPU,65,Lightning,1,Tree,Basarili,1
Ultimaker 3 Extended,0.2,0.2,261,53,21,168.0,ASA,5,Cubic,1,Yok,Warping (Kasa Acik),0
Creality K1 Max,0.4,0.16,223,75,32,92.0,PLA,30,Gyroid,0,Tree,Basarili,1
Bambu Lab P1S Combo,0.4,0.12,190,73,21,207.0,Recine_UV,9,Gyroid,0,Tree,Basarili,1
Bambu Lab P1S Combo,0.4,0.2,258,57,50,129.0,TPU,39,Gyroid,0,Tree,Basarili,1
CR-10 S4,0.4,0.08,275,55,29,286.0,Recine_UV,17,Gyroid,1,Tree,Basarili,1
Bambu Lab P1S Combo,0.2,0.28,209,76,42,213.0,ABS,31,Cubic,0,Tree,Warping (Soguk Yatak),0
Creality K1 Max,0.8,0.08,269,80,41,411.0,ASA,16,Cubic,0,Yok,Basarili,1
CR-M4,0.4,0.12,196,64,48,126.0,Recine_UV,98,Gyroid,0,Yok,Basarili,1
Bambu Lab A1 Mini,0.4,0.12,196,47,52,408.0,Recine_UV,54,Lightning,0,Normal,Basarili,1
